2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 1 2 2 3 2 3 2 3 2 2 INF 3 2 INF 3 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 2 3 2 2 2 3 3 3 1 3 2 3 2 3 2 2 1 2 2 3 2 2 3 1 3 2 3 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 3 2 3 3 2 2 2 3 2 2 2 INF 2 3 2 2 INF 2 2 1 3 2 2 2 2 2 3 2 2 2 2 2 3 2 2 3 2 2 3 INF 3 2 2 3 1 4 2 2 3 2 2 2 3 3 3 1 2 2 3 2 1 3 3 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 0 2 4 2 2 3 2 3 3 3 2 2 1 2 2 2 3 2 2 3 3 4 2 3 3 3 3 2 2 2 2 3 2 2 3 3 2 INF 1 3 2 2 2 3 2 3 3 3 3 2 2 2 3 2 3 3 2 2 2 2 2 2 3 3 3 3 3 3 
3 3 3 2 2 3 2 3 3 4 2 3 2 2 3 3 2 2 2 3 3 3 2 3 4 INF 3 4 INF 3 3 3 2 2 3 3 4 3 3 3 4 2 3 2 3 3 3 3 3 3 3 2 3 3 4 2 3 2 2 3 2 3 3 3 3 3 2 3 2 3 1 3 3 3 3 3 2 3 3 3 3 3 3 3 2 1 3 3 2 3 3 2 4 3 3 2 3 3 3 3 3 INF 2 2 3 3 INF 3 3 3 3 2 2 2 3 3 2 3 2 2 2 3 3 3 2 4 3 3 3 INF 3 3 2 3 3 4 3 2 3 3 3 1 3 3 2 3 3 3 3 3 2 3 4 2 3 3 2 3 3 3 3 3 1 3 3 3 3 2 2 3 2 0 5 2 1 2 2 3 3 2 2 4 3 3 2 2 2 2 2 3 3 4 3 2 2 4 3 2 2 3 3 2 1 3 3 3 3 INF 2 3 3 2 3 2 3 2 2 3 2 3 3 2 3 2 2 2 3 3 3 3 3 2 2 3 3 4 3 4 
3 2 4 4 4 2 4 3 5 3 4 3 4 4 2 5 5 4 5 3 3 5 4 5 2 INF 4 3 INF 5 3 5 4 3 3 5 3 3 3 3 3 4 5 4 2 3 3 3 5 6 3 5 5 3 3 4 5 3 4 3 4 3 5 5 2 5 4 4 5 4 4 4 4 4 3 3 4 5 3 5 3 5 4 2 3 4 5 3 4 3 3 4 3 4 3 5 3 5 5 3 5 INF 5 4 3 4 INF 3 3 5 4 4 4 4 3 4 4 5 4 4 4 3 3 5 3 1 3 2 3 INF 4 3 4 3 5 6 3 4 3 3 3 4 5 5 4 3 3 2 4 5 4 5 3 4 3 2 5 3 5 3 3 3 4 3 3 3 2 4 5 2 4 5 0 4 4 4 4 5 3 4 5 3 5 3 5 5 4 5 3 4 3 3 5 4 4 4 5 5 4 5 3 4 4 3 2 4 3 INF 5 3 5 4 5 5 2 4 5 2 5 5 3 5 5 4 4 4 3 5 3 3 3 4 4 4 3 2 5 3 
2 2 2 1 3 2 2 2 3 3 1 2 2 3 2 2 2 1 3 2 3 3 2 2 3 INF 3 3 INF 3 2 2 1 1 2 2 3 2 2 2 3 1 3 1 2 3 2 2 2 3 2 3 2 2 3 3 2 1 1 2 1 2 3 3 2 3 2 3 2 3 2 2 2 3 2 2 2 3 2 3 2 3 3 2 2 2 3 2 1 2 2 1 3 3 2 3 2 2 3 2 3 INF 3 2 3 1 INF 2 2 2 3 1 2 1 2 2 1 3 2 1 2 2 2 2 2 3 2 2 2 INF 3 2 1 2 3 4 2 1 3 2 3 3 2 3 1 2 2 2 3 3 1 3 3 1 2 2 3 2 3 2 2 2 1 2 2 2 2 1 2 2 2 2 4 0 2 1 1 2 2 1 3 3 3 2 3 3 1 3 2 2 2 3 3 2 2 3 1 3 1 3 2 3 2 2 2 2 2 INF 3 2 2 1 3 2 2 2 3 2 2 3 2 2 2 1 1 1 2 3 3 2 2 1 2 3 2 3 2 3 
2 2 3 2 2 2 2 2 3 3 3 2 2 1 2 3 2 3 2 2 2 3 2 3 3 INF 2 3 INF 3 2 4 2 2 2 3 3 2 2 2 3 2 3 3 2 3 2 2 3 3 2 2 4 2 3 2 2 1 2 2 2 2 3 3 2 3 2 2 2 2 1 3 2 2 2 2 1 3 2 3 2 3 2 2 2 1 3 2 3 2 2 3 3 2 2 2 2 3 3 2 3 INF 2 2 3 3 INF 2 2 3 3 3 2 3 2 2 3 3 2 3 1 2 2 3 1 3 2 2 2 INF 2 2 3 2 3 4 2 3 3 2 3 1 3 2 3 2 2 2 3 3 2 3 3 3 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 1 4 2 0 3 2 2 2 3 2 3 3 2 2 2 3 2 1 2 2 3 3 2 2 3 3 2 2 3 2 2 1 2 2 3 2 INF 2 2 2 2 3 2 2 2 2 2 2 3 2 3 3 2 3 3 2 3 3 2 2 3 2 2 2 3 3 3 
3 3 1 1 4 3 2 2 3 3 1 3 2 3 2 2 2 1 3 3 3 2 3 3 3 INF 3 3 INF 3 3 2 1 1 3 2 3 3 3 3 3 2 2 1 3 4 3 3 2 3 3 2 2 3 4 3 2 2 1 3 1 3 3 4 3 2 3 3 2 3 3 2 3 3 3 3 3 2 3 2 3 3 3 3 3 3 3 3 1 3 3 1 4 3 3 3 3 2 3 3 2 INF 2 3 3 1 INF 3 3 2 3 1 2 1 3 3 1 2 3 1 3 3 3 3 3 3 3 3 3 INF 3 3 1 3 3 4 3 1 3 3 3 3 2 3 1 2 3 3 4 3 2 3 4 1 3 3 2 3 3 3 3 2 1 3 3 3 3 1 2 3 3 2 4 1 3 0 2 2 3 2 2 3 3 3 2 3 1 2 2 2 3 4 3 2 2 4 1 3 1 3 3 3 2 3 3 2 3 INF 2 3 3 1 2 2 3 3 3 3 2 3 3 2 2 1 2 1 3 2 3 3 3 1 2 3 3 3 2 3 
3 3 2 1 3 3 2 2 3 3 1 3 2 2 2 2 2 1 3 3 3 3 2 2 3 INF 3 3 INF 3 3 2 1 1 3 2 3 3 3 3 3 1 3 1 3 3 3 3 2 3 3 3 3 3 3 3 1 2 1 3 1 3 3 3 3 3 2 3 2 3 2 2 2 3 3 3 1 3 3 3 3 3 3 3 3 2 3 3 2 3 3 1 4 3 3 3 3 2 3 3 3 INF 3 2 3 1 INF 3 3 2 3 1 2 2 3 2 1 3 2 1 2 3 3 2 2 3 3 3 3 INF 3 3 1 3 3 4 2 1 3 3 3 2 2 3 1 2 3 3 3 3 1 3 4 1 3 3 3 3 3 3 3 2 1 3 3 3 3 1 2 3 2 2 4 1 2 2 0 2 3 2 3 3 3 3 3 3 1 3 2 2 3 4 3 2 2 4 2 3 1 3 3 3 2 3 3 2 3 INF 3 3 2 1 3 2 3 2 3 3 2 3 3 2 3 1 2 1 3 3 3 3 3 1 2 3 3 3 2 3 
3 3 2 2 3 3 2 3 3 4 2 3 3 3 3 3 3 2 1 3 4 3 2 3 3 INF 3 3 INF 4 3 3 2 2 3 3 3 3 3 3 3 2 3 2 3 4 3 3 3 3 3 3 3 3 4 3 2 2 2 3 2 3 4 3 3 3 2 1 2 3 2 2 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 1 3 3 2 4 2 3 2 3 3 3 3 3 INF 3 2 3 2 INF 3 3 3 2 2 3 2 3 3 2 3 3 2 1 3 3 3 3 4 3 3 3 INF 3 3 2 3 4 4 3 2 4 3 3 2 2 1 2 2 3 3 4 4 2 3 4 2 3 3 3 3 3 3 3 3 2 3 3 3 3 2 3 3 3 3 5 2 2 2 2 0 3 2 3 3 4 3 3 3 1 3 3 2 3 4 3 2 2 4 2 3 2 3 3 3 2 3 3 2 3 INF 3 3 3 2 3 1 3 2 3 3 2 3 3 2 3 2 2 2 3 3 3 3 3 2 1 4 3 4 3 4 
1 1 3 2 2 1 2 2 4 2 3 2 3 3 2 3 3 3 3 2 1 4 2 3 2 INF 3 2 INF 4 1 4 2 2 2 3 2 2 2 2 2 2 4 3 1 1 1 1 3 4 1 4 3 2 2 2 3 1 2 1 2 1 3 3 1 3 2 3 3 3 2 3 3 3 2 2 3 4 1 4 2 3 3 1 1 2 3 1 3 1 1 3 2 3 1 3 1 3 4 1 4 INF 3 3 2 3 INF 1 1 3 2 3 3 3 2 3 3 4 3 3 2 2 2 3 2 2 1 1 1 INF 2 2 3 1 4 4 1 3 1 1 2 3 3 3 3 2 2 2 2 4 3 4 2 3 1 1 3 1 4 1 1 2 3 2 1 2 1 3 3 2 3 3 3 2 2 3 3 3 0 3 3 1 4 1 3 3 3 3 2 3 1 2 4 2 2 2 3 3 2 4 1 2 2 2 1 2 1 INF 3 1 3 3 4 3 1 2 3 2 3 4 1 3 4 2 3 3 2 4 1 2 1 3 2 3 1 2 4 2 
3 3 2 2 3 3 1 2 3 3 1 3 2 3 2 3 3 1 2 3 3 3 2 3 3 INF 3 3 INF 3 3 2 1 1 3 3 3 3 3 3 3 2 3 1 3 3 3 3 2 3 3 3 2 3 3 3 2 2 1 3 2 3 3 4 3 2 2 3 2 3 3 2 3 3 3 3 3 3 3 3 3 2 3 3 2 3 3 3 1 3 3 2 4 3 3 3 3 2 3 3 3 INF 3 2 3 1 INF 3 3 2 3 1 2 1 3 3 2 3 3 1 2 3 3 2 3 3 3 3 3 INF 3 3 1 3 3 3 2 1 3 3 3 2 1 3 2 2 3 3 3 3 2 3 4 1 3 3 3 3 3 3 3 2 1 3 3 3 3 1 2 3 3 2 4 1 3 2 2 2 3 0 3 3 3 3 3 3 1 3 2 1 3 4 3 2 2 4 2 3 1 3 3 3 2 3 3 1 3 INF 3 3 3 1 3 3 3 2 2 3 2 3 3 2 2 1 1 1 3 3 3 3 3 1 2 3 3 3 2 3 
3 3 1 2 2 3 3 3 1 4 2 3 2 2 3 2 1 2 3 3 3 1 3 2 4 INF 2 3 INF 3 3 3 2 2 3 1 3 3 3 2 4 2 1 2 3 3 3 3 2 3 3 1 3 3 4 2 2 2 2 3 2 3 2 3 3 1 3 3 3 3 1 3 3 3 3 3 2 1 3 1 3 2 3 3 3 2 2 3 2 3 3 3 4 3 3 2 3 3 1 3 1 INF 2 3 4 3 INF 3 3 2 3 2 2 2 3 3 2 1 1 2 2 3 3 2 2 4 3 3 3 INF 3 3 3 3 3 3 3 2 4 3 3 2 3 3 2 3 3 3 3 1 3 1 4 2 3 3 1 3 1 3 3 3 2 3 3 3 3 3 1 3 2 2 5 3 2 2 3 3 3 3 0 4 2 3 1 2 2 1 2 2 3 4 1 3 3 4 3 1 2 1 3 3 2 3 3 2 3 INF 1 3 2 2 1 3 3 3 3 3 3 1 3 1 1 2 2 2 3 1 4 3 3 2 3 2 3 4 2 4 
1 2 3 3 2 1 3 2 4 2 2 1 3 3 2 3 3 3 3 1 2 4 3 3 1 INF 3 1 INF 4 1 4 3 3 1 3 1 2 1 2 1 2 4 3 1 1 2 1 4 4 1 4 3 2 2 3 3 2 3 1 3 1 4 3 1 3 3 2 3 3 3 3 3 3 1 1 3 4 2 4 1 3 3 1 2 3 4 1 3 1 1 3 2 3 1 3 1 4 4 1 4 INF 4 3 2 3 INF 1 1 3 2 3 3 3 2 3 3 4 3 3 3 1 1 3 2 2 1 1 1 INF 3 1 3 1 3 4 1 3 2 1 1 3 4 3 3 1 2 2 3 4 3 4 2 3 1 1 4 1 4 1 1 2 3 2 1 1 2 3 3 1 2 4 3 3 3 3 3 3 1 3 4 0 3 1 4 4 4 4 2 3 1 2 4 2 3 2 3 4 3 4 2 3 3 1 1 2 1 INF 3 1 3 3 4 3 2 3 4 1 3 4 1 3 4 3 3 3 1 4 2 2 2 3 3 3 2 2 4 2 
3 3 2 2 3 3 3 3 2 4 3 3 2 3 3 1 1 3 4 3 4 2 3 2 3 INF 3 3 INF 3 3 4 3 3 3 1 3 4 3 3 3 2 2 3 3 4 3 3 3 2 3 2 4 4 4 2 3 3 3 3 3 3 1 2 3 2 3 3 2 4 2 3 3 4 3 3 3 2 3 2 3 3 4 3 3 3 2 3 3 3 4 3 4 4 3 2 3 3 2 3 2 INF 2 3 3 3 INF 3 3 1 4 3 2 3 3 3 3 2 2 3 3 3 4 2 3 4 3 3 4 INF 4 3 3 4 1 4 3 3 4 3 3 3 3 4 3 2 3 3 3 2 2 2 4 3 3 3 2 3 2 4 3 3 3 3 3 3 3 2 2 3 1 3 5 3 3 3 3 4 4 3 2 3 0 3 2 2 3 2 3 3 4 5 2 3 3 4 3 2 3 2 3 3 2 3 4 3 3 INF 1 4 2 3 2 3 3 3 3 4 3 2 3 2 2 3 3 3 3 2 3 3 3 3 3 3 4 4 2 4 
1 1 3 2 2 1 2 1 3 2 2 1 2 3 1 3 3 3 3 1 1 3 2 3 2 INF 3 1 INF 3 1 4 2 2 1 3 1 2 1 1 1 2 3 2 1 2 1 2 3 4 1 3 3 1 1 2 3 1 2 1 2 1 3 3 1 3 2 2 3 3 2 3 3 2 1 1 3 3 2 3 1 3 3 1 1 2 3 1 3 1 1 3 2 3 1 3 1 3 3 1 3 INF 3 3 1 3 INF 1 1 3 2 3 3 3 1 2 3 3 2 3 2 1 1 3 2 2 1 1 2 INF 2 1 3 1 3 4 1 3 2 1 1 3 3 3 3 1 1 1 2 3 3 3 2 3 1 1 3 1 3 1 1 1 3 2 1 1 1 3 3 1 2 3 3 2 2 3 3 3 1 3 3 1 3 0 3 3 3 3 2 3 1 2 3 2 2 2 3 3 2 3 1 2 2 1 1 2 1 INF 3 2 3 3 3 3 1 2 3 1 3 3 1 3 4 2 3 3 1 3 1 2 1 3 2 2 1 2 4 2 
3 3 1 2 2 3 3 3 1 4 2 3 2 2 3 2 1 2 3 3 3 1 3 2 4 INF 2 3 INF 3 3 3 2 2 3 1 3 3 3 2 4 2 1 2 3 3 3 3 2 3 3 1 3 3 4 2 2 2 2 3 2 3 2 3 3 1 3 3 3 3 1 3 3 3 3 3 2 1 3 1 3 2 3 3 3 2 2 3 2 3 3 3 4 3 3 2 3 3 1 3 1 INF 1 3 4 3 INF 3 3 2 3 2 2 2 3 3 2 1 1 2 2 3 3 2 2 4 3 3 3 INF 3 3 3 3 3 3 3 2 4 3 3 2 3 3 2 3 3 3 3 1 3 1 4 2 3 3 1 3 1 3 3 3 2 3 3 3 3 3 1 3 2 2 5 3 2 2 3 3 3 3 1 4 2 3 0 1 2 1 2 2 3 4 1 3 3 4 3 1 2 1 3 3 2 3 3 2 3 INF 1 3 2 2 1 3 3 3 3 3 3 1 3 1 1 2 2 2 3 1 4 3 3 2 3 2 3 4 1 4 
3 3 2 3 2 3 3 3 2 4 3 3 2 2 3 2 1 3 3 3 3 1 3 3 4 INF 3 4 INF 3 3 4 3 3 3 2 4 3 3 3 4 2 2 3 3 4 3 3 3 3 3 2 3 3 4 2 2 2 3 3 2 3 3 3 3 1 3 3 3 3 1 3 3 3 3 3 2 2 3 2 3 3 3 3 3 2 3 3 3 3 3 3 4 3 3 2 3 3 2 3 2 INF 2 3 4 3 INF 3 3 3 3 3 2 3 3 3 3 2 2 3 2 3 3 3 2 4 3 3 3 INF 3 3 3 3 3 4 3 3 4 3 4 2 3 3 3 3 3 3 4 2 3 2 4 3 3 3 1 3 2 3 3 3 3 3 3 3 3 3 1 3 2 2 5 3 2 3 3 3 3 3 2 4 2 3 1 0 3 2 2 2 3 4 2 3 3 4 3 2 3 2 3 3 2 3 3 2 3 INF 2 3 3 3 2 3 3 3 3 3 3 2 3 2 2 3 3 3 3 2 4 3 3 3 3 2 3 4 2 4 
3 3 2 1 4 3 2 2 2 3 2 3 2 3 2 2 2 1 2 3 3 2 3 3 3 INF 3 3 INF 3 3 2 1 1 3 2 3 3 3 3 4 2 2 1 3 4 3 3 2 3 3 3 2 3 4 3 1 2 1 3 1 3 3 4 3 2 3 2 2 3 3 2 3 3 3 3 2 2 3 2 3 3 3 3 3 3 3 3 1 3 3 1 4 3 3 3 3 2 2 3 2 INF 3 3 3 1 INF 3 3 2 3 1 2 1 3 3 1 2 2 1 2 3 3 3 3 3 3 3 3 INF 3 3 1 3 3 4 3 1 3 3 3 3 2 2 1 3 3 3 4 3 2 2 4 1 3 3 2 3 2 3 3 2 1 3 3 3 3 1 2 3 3 2 4 1 3 1 1 1 3 1 2 4 3 3 2 3 0 2 2 1 3 4 2 2 2 4 1 2 1 2 3 3 2 3 3 2 3 INF 2 3 3 1 2 2 3 3 3 3 2 2 3 1 2 1 1 1 3 2 3 3 3 1 2 3 3 3 2 3 
3 3 1 2 2 3 3 3 1 4 2 3 2 2 3 2 1 2 3 3 3 1 3 2 4 INF 2 3 INF 3 3 3 2 2 3 1 3 3 3 2 4 2 1 2 3 3 3 3 2 3 3 1 3 3 4 2 2 2 2 3 2 3 2 3 3 1 3 3 3 3 1 3 3 3 3 3 2 1 3 1 3 2 3 3 3 2 2 3 2 3 3 3 4 3 3 2 3 3 1 3 1 INF 1 3 4 3 INF 3 3 2 3 2 2 2 3 3 2 1 1 2 2 3 3 2 2 4 3 3 3 INF 3 3 3 3 3 3 3 2 4 3 3 2 3 3 2 3 3 3 3 1 3 2 4 2 3 3 1 3 1 3 3 3 2 3 3 3 3 3 1 3 2 2 5 3 2 2 3 3 3 3 1 4 2 3 1 2 2 0 2 2 3 4 1 3 3 4 3 1 2 1 3 3 2 3 3 2 3 INF 1 3 2 2 1 3 3 3 3 3 3 1 3 1 1 2 2 2 3 1 4 3 3 2 3 2 3 4 2 4 
1 2 2 2 2 2 2 1 3 3 2 2 2 1 2 3 2 2 2 2 1 3 2 3 2 INF 1 2 INF 3 2 3 2 2 2 3 2 2 2 2 2 2 3 2 1 2 2 2 2 3 2 2 3 2 3 2 2 2 1 2 2 2 3 3 2 2 2 3 2 1 1 2 1 1 2 2 1 3 2 3 2 3 1 2 1 1 3 2 2 2 2 2 3 1 2 2 2 3 3 2 3 INF 2 1 2 2 INF 2 2 2 2 2 2 2 3 1 2 3 2 2 2 2 2 3 1 2 2 2 2 INF 1 2 2 2 3 4 2 2 2 1 2 1 2 3 2 2 2 2 2 3 1 3 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 1 2 2 3 2 2 2 2 3 2 2 2 2 2 0 1 2 3 3 2 2 2 2 2 2 3 2 2 1 2 2 2 2 INF 2 2 2 2 3 2 2 2 2 2 2 3 2 3 3 2 2 2 2 3 2 2 2 2 2 1 2 2 3 2 
2 3 1 2 3 3 2 2 2 3 2 3 2 2 2 2 2 2 1 3 2 2 2 2 3 INF 2 3 INF 3 3 2 2 1 3 2 3 3 3 3 3 1 2 1 2 3 3 3 1 2 3 2 2 3 3 2 1 2 1 3 1 3 3 3 3 2 2 2 1 2 2 1 2 2 3 3 2 2 3 2 3 3 2 3 2 2 2 3 1 3 3 2 4 2 3 3 3 2 2 3 2 INF 2 2 3 1 INF 3 3 2 3 1 2 1 3 2 2 2 2 2 2 3 3 2 2 3 3 3 3 INF 2 3 2 3 3 4 2 1 3 2 3 2 1 2 1 3 3 3 3 2 2 2 4 2 3 3 2 3 2 3 3 2 2 3 3 3 3 2 1 3 3 3 4 2 2 2 2 2 3 1 2 3 3 3 2 2 1 2 1 0 3 4 3 2 2 3 1 2 1 2 3 3 2 3 3 2 3 INF 2 3 2 1 2 2 3 2 3 3 2 2 3 2 2 1 1 1 3 2 3 3 3 2 2 2 3 3 2 3 
2 1 3 2 2 2 2 2 4 2 3 2 3 3 1 3 3 3 3 1 2 4 2 3 2 INF 3 2 INF 4 2 4 2 2 2 3 1 1 1 2 1 2 4 3 1 1 1 1 3 4 1 4 3 2 1 2 3 1 2 1 2 1 3 3 2 3 2 3 3 3 2 3 3 3 1 1 3 4 2 4 1 3 3 1 1 2 3 1 3 1 1 3 2 3 1 3 2 3 4 2 4 INF 3 3 2 3 INF 1 1 3 2 3 3 3 2 3 3 4 3 3 2 1 1 3 2 2 1 1 2 INF 2 1 3 1 4 4 1 3 1 1 2 3 3 3 3 2 2 2 2 4 3 4 3 3 1 1 3 1 4 1 1 2 3 1 1 2 1 3 3 2 3 3 3 2 2 3 3 3 1 3 3 1 4 1 3 3 3 3 2 3 0 3 4 2 2 2 3 3 2 4 1 2 2 2 2 2 2 INF 3 1 3 3 4 3 2 2 3 1 3 4 1 3 4 2 3 3 1 4 1 2 1 3 2 3 1 2 4 2 
3 2 4 3 3 2 3 3 5 1 4 2 4 4 2 4 4 4 4 2 2 5 3 4 2 INF 4 2 INF 5 2 5 3 3 2 4 2 2 2 3 2 3 5 3 2 3 2 2 4 5 2 5 4 2 3 3 4 2 3 3 3 2 4 4 2 4 3 4 4 4 3 4 4 4 2 2 4 5 2 5 3 4 4 2 2 3 4 2 4 2 2 4 1 4 2 4 3 4 5 2 5 INF 4 4 2 4 INF 2 2 4 3 4 4 4 3 4 4 5 4 4 3 3 2 4 3 2 2 2 2 INF 3 2 4 2 5 5 2 4 2 2 2 4 4 4 4 3 2 2 3 5 4 5 1 4 2 2 4 2 5 2 2 2 4 3 2 2 2 4 4 2 4 4 3 3 3 4 4 4 2 4 4 2 5 2 4 4 4 4 3 4 3 0 5 3 3 3 4 4 3 5 2 3 3 2 1 3 2 INF 4 2 4 4 5 4 2 3 4 2 4 5 2 4 5 3 4 4 3 5 2 3 2 4 3 4 2 1 5 2 
4 4 2 3 3 4 3 3 1 4 3 3 3 3 4 3 1 3 3 3 4 1 3 2 4 INF 2 3 INF 3 4 4 3 3 3 1 3 4 3 2 4 2 1 3 3 3 3 3 2 4 3 1 3 4 4 2 3 3 3 3 3 3 2 3 4 2 3 4 3 4 2 3 4 4 4 4 3 1 4 1 3 2 4 3 3 2 2 3 3 3 4 3 4 4 3 3 3 3 1 4 1 INF 2 3 4 3 INF 4 4 2 4 3 2 2 3 4 3 1 1 3 3 3 4 2 3 4 3 3 4 INF 4 3 3 4 3 3 3 3 4 3 3 2 3 4 3 3 3 3 3 2 3 2 4 3 3 4 1 3 1 3 3 3 2 4 3 3 3 3 2 3 2 3 5 3 3 3 3 3 4 3 1 4 2 3 1 2 2 1 3 3 4 5 0 3 3 4 3 1 3 1 3 3 2 4 4 3 4 INF 1 4 2 3 1 3 3 3 3 4 3 2 3 1 1 3 3 3 3 1 4 3 4 2 3 3 4 4 2 4 
2 2 2 2 2 2 1 2 3 3 2 2 2 2 2 3 2 2 3 2 2 3 1 2 3 INF 2 2 INF 3 2 3 1 2 2 2 2 2 2 2 3 1 3 1 2 2 2 2 3 3 2 3 3 2 2 3 2 1 2 2 2 2 3 2 2 3 1 3 2 3 2 2 3 2 2 2 2 3 2 3 2 2 3 2 2 2 2 2 2 2 2 2 3 2 2 1 2 2 3 2 3 INF 3 1 2 2 INF 2 2 2 2 2 3 2 2 3 2 3 2 2 2 2 2 2 2 3 2 2 2 INF 3 2 2 2 3 3 1 2 2 2 2 2 2 3 2 2 2 2 3 3 2 3 3 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 2 3 2 4 2 2 2 2 2 2 2 3 2 3 2 3 3 2 3 2 2 2 3 3 0 1 3 2 3 2 3 2 2 1 2 2 2 2 INF 2 2 2 2 3 2 2 1 2 2 1 3 2 2 3 2 2 2 2 3 2 2 2 1 1 3 2 3 3 3 
2 2 2 2 3 2 1 2 3 2 2 2 2 2 2 3 2 2 3 2 3 3 1 2 2 INF 2 2 INF 3 2 3 1 2 2 2 2 2 2 2 3 1 3 1 2 3 2 2 3 3 2 3 3 2 3 3 2 1 2 2 2 2 3 3 2 3 1 3 2 3 2 2 3 2 2 2 2 3 2 3 2 2 3 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 2 3 INF 3 1 2 2 INF 2 2 2 2 2 3 2 2 3 2 3 2 2 2 2 2 2 2 3 2 2 2 INF 3 2 2 2 3 3 2 2 3 2 2 2 2 3 2 2 2 2 3 3 2 3 3 2 2 2 3 2 3 2 2 1 2 2 2 2 2 2 2 2 3 2 4 2 2 2 2 2 2 2 3 3 3 2 3 3 2 3 2 2 2 3 3 1 0 3 1 3 2 3 2 2 1 2 2 2 2 INF 2 2 2 2 3 2 2 1 2 2 1 3 2 2 3 2 2 2 2 3 3 2 2 2 1 3 2 2 3 3 
2 2 4 3 3 2 3 2 4 3 3 2 3 3 2 4 4 4 4 2 2 4 3 4 2 INF 3 2 INF 4 2 5 3 3 2 4 2 2 2 2 2 3 4 3 2 2 2 2 4 5 2 4 4 2 3 3 4 2 3 2 3 2 4 4 2 4 3 3 4 3 3 4 3 3 2 2 3 4 2 4 2 4 3 2 2 3 4 2 4 2 2 4 3 3 2 4 2 4 4 2 4 INF 4 3 2 4 INF 2 2 4 3 4 4 4 2 3 4 4 3 4 3 2 2 4 3 3 2 2 2 INF 3 2 4 2 4 5 2 4 2 1 3 3 4 4 4 2 2 2 3 4 3 4 3 4 2 2 4 2 4 2 2 2 4 2 2 2 2 4 4 2 3 4 4 3 3 4 4 4 2 4 4 2 4 2 4 4 4 4 2 3 2 3 4 3 3 0 4 4 3 4 2 3 3 2 2 3 2 INF 4 2 4 4 4 4 2 3 4 2 4 4 2 4 5 3 4 4 2 4 2 2 1 4 3 3 2 2 5 2 
3 3 2 2 3 3 1 2 3 3 2 3 2 3 3 3 2 2 2 3 3 3 2 2 3 INF 3 3 INF 3 3 3 1 2 3 2 3 3 3 3 4 1 3 1 3 3 3 3 2 3 3 3 2 3 3 3 2 2 1 3 2 3 3 3 3 2 2 3 2 3 3 2 3 3 3 3 3 3 3 3 3 2 3 3 2 3 3 3 1 3 3 2 4 3 3 3 3 2 3 3 3 INF 3 2 3 1 INF 3 3 2 3 2 2 1 3 3 1 3 2 1 2 3 3 2 2 4 3 3 3 INF 3 3 2 3 3 3 2 1 3 3 3 2 1 3 1 3 3 3 3 3 2 3 4 1 3 3 3 3 3 3 3 2 2 3 3 3 3 2 2 3 3 3 5 1 3 1 2 2 3 2 3 3 3 3 3 3 1 3 2 1 3 4 3 2 1 4 0 3 1 3 3 3 2 3 3 1 3 INF 3 3 2 1 3 3 3 2 2 3 2 3 3 2 2 1 1 1 3 3 3 3 3 2 2 3 3 3 2 4 
3 3 2 3 2 3 3 3 1 4 3 3 2 2 3 2 1 3 3 3 3 1 3 2 4 INF 2 3 INF 3 3 4 3 3 3 1 3 3 3 2 4 2 1 3 3 3 3 3 2 3 3 1 3 3 4 2 2 2 3 3 2 3 2 3 3 1 3 3 3 3 1 3 3 3 3 3 2 1 3 1 3 2 3 3 3 2 2 3 3 3 3 3 4 3 3 2 3 3 1 3 1 INF 1 3 4 3 INF 3 3 2 3 3 2 2 3 3 3 1 1 3 2 3 3 2 2 4 3 3 3 INF 3 3 3 3 3 3 3 3 4 3 3 2 3 3 3 3 3 3 3 2 3 2 4 3 3 3 1 3 1 3 3 3 2 3 3 3 3 3 1 3 2 2 5 3 2 3 3 3 3 3 1 4 2 3 1 2 2 1 2 2 3 4 1 3 3 4 3 0 3 1 3 3 2 3 3 2 3 INF 1 3 2 3 1 3 3 3 3 3 3 2 3 1 1 3 3 3 3 1 4 3 3 2 3 2 3 4 2 4 
